ident,name,coordinates,iso_country,iata_code
32NE,Mc Ginn Ranch Airport,"-100.0879974, 41.72109985",US,
32NJ,George Harms Const Heliport,"-74.17459869, 40.20840073",US,
32NK,Schoharie Creek Airport,"-74.31109619, 42.75329971",US,
32NY,S J M Landing Heliport,"-72.21679688, 42.42979813",US,
32OH,Rall Field,"-82.41790009, 40.76119995",US,
32OK,Flying A Ranch Airport,"-95.51750183, 34.83179855",US,
32OR,Pine Hollow Airport,"-121.2939987, 45.25479889",US,
32PA,Yost Personal Use Airport,"-77.17720032, 40.33010101",US,
32PN,Black Rock Airport,"-80.27590179, 40.73400116",US,
32TA,Wilbourn Ranch Airport,"-97.43360138, 29.69190025",US,
32TE,Granite Shoals Municipal Airport,"-98.37030029, 30.58939934",US,
32TN,Southern Tennessee Medical Center Heliport,"-86.089917, 35.174281",US,
32TS,Seton Medical Center H-4 Heliport,"-97.7457962, 30.30439949",US,
32TX,Hinson Airport,"-96.35919952, 30.05809975",US,
32VA,Old South Aerodrome,"-81.928722, 36.677778",US,
32WA,Whitestone Airport,"-119.4672222, 48.72277778",US,
32WI,Dalonia Airport,"-88.70089722, 44.31639862",US,
32WN,Bowman Airstrip,"-88.419733, 45.099606",US,
32XA,Medical Center Hospital Heliport,"-102.374678, 31.846186",US,
32XS,Cedar Circle Heliport,"-97.00869751, 32.46149826",US,
33A,Fairview Airport,"-82.12229919, 35.15729904",US,
33AK,Nugget Bench Airport,"-150.9450073, 62.51729965",US,
33AR,Skypoint Estates Airport,"-92.14250183, 35.60219955",US,
33AZ,Yolo Ranch Airport,"-112.9700012, 34.79859924",US,
33C,Jablonski Airport,"-86.09480286, 43.0821991",US,
33CA,Lloyd's Landing Airport,"-118.302002, 34.9054985",US,
33CL,Oak Country Ranch Airport,"-120.7969971, 35.56829834",US,
33CN,Platform Hillhouse Heliport,"-119.6039963, 34.33110046",US,
33CO,Melby Ranch Airstrip,"-105.4639969, 37.06499863",US,
33CT,Irish Hills Farms Airport,"-73.239722, 41.609444",US,
33FA,Recreation Corporation Airport,"-80.84590149, 27.59810066",US,
33FD,R O Ranch STOLport,"-83.26650238, 29.9144001",US,
33FL,Flying S Ranch Airport,"-80.99986267, 27.86086082",US,
33GA,Hudson River Landing Airport,"-83.28669739, 34.25999832",US,
33IA,Orange City Hospital Heliport,"-96.05809784, 43.01029968",US,
33II,Lifeline Landing Area Heliport,"-85.14360046, 39.65840149",US,
33IL,John Scharff Airport,"-88.89830017, 40.16609955",US,
33IN,Rusby Field,"-86.05780029, 38.44309998",US,
33IS,Howell Airport,"-88.75759888, 39.54449844",US,
33KS,Buena Terra Airport,"-95.60939789, 39.15309906",US,
33KY,Bigger (Stol) STOLport,"-87.05690002, 37.61230087",US,
33LA,Sky Ranch Airport,"-91.98619843, 30.06959915",US,
33LL,Isley Airport,"-88.28890228, 39.08750153",US,
33LS,Heart Hospital Heliport,"-92.026389, 32.173306",US,
33MA,Seagate Heliport,"-70.77230072, 42.55979919",US,
33MI,Great Lakes Airport,"-88.00759888, 46.0666008",US,
33MN,Swift Private Airport,"-96.09700012, 46.09000015",US,
33MO,Leaming Field,"-94.05690002, 37.25139999",US,
33MT,Kruger Heliport,"-114.0009995, 48.48059845",US,
33NC,Pettigrew Moore Aerodrome,"-78.08940125, 34.42689896",US,
33NE,Orr Ranch Airport,"-102.5749969, 42.38610077",US,
33NJ,Centra State Medical Center Heliport,"-74.31099701, 40.23709869",US,
33NR,Wolf Ridge Airport,"-82.506667, 35.941667",US,
33NY,Wayne Delp Airport,"-73.86620331, 42.3995018",US,
33OH,Sunset Strip,"-83.17359924, 40.18529892",US,
33OI,Soaring Horse Airport,"-82.04319763, 41.08280182",US,
33OK,Myrick Airport,"-97.40557909, 35.74329037",US,
33OR,Crow-Mag Airport,"-123.3909988, 44.06370163",US,
33PA,Sutliff Private Airport,"-76.24970245, 41.16680145",US,
33PN,Skepton Heliport,"-75.43800354, 40.38899994",US,
33SC,Triad Carolinas Hospital Heliport,"-79.75389862, 34.16139984",US,
33TA,Lake Bonanza Airport,"-95.61219788, 30.33300018",US,
33TE,Sw Police Station Nr 4 Heliport,"-95.45189667, 29.68860054",US,
33TN,Bradley Memorial Hospital Heliport,"-84.869442, 35.178211",US,
33TS,Burleson County Hospital Heliport,"-96.7161026, 30.52129936",US,
33TX,Tgp 1 Heliport,"-97.8463974, 27.74449921",US,
33VA,Fox Fire Airport,"-79.04969788, 36.78430176",US,
33WA,Franz Ranch Airport,"-118.8509979, 47.04990005",US,
33WI,St Mary's Hospital Heliport,"-88.06590271, 44.53219986",US,
33XS,Six Mile Volunteer Fire Department Heliport,"-93.778931, 31.250292",US,
34AK,Cardwell Strip,"-149.2890015, 61.625",US,
34AR,Woodbridge Field,"-90.38529968, 35.58110046",US,
34AZ,Gila River Memorial Airport,"-111.913002, 33.24340057",US,
34CA,Fiddyment Field,"-121.3730011, 38.792099",US,
34CD,Elk Park Ranch Airport,"-105.448011, 40.262683",US,
34CL,Burney Service Center Heliport,"-121.6500015, 40.89459991",US,
34CN,Bonanza Hills Airport,"-120.3980026, 37.52349854",US,
34CO,Simons Airport,"-104.7320023, 39.71640015",US,
34FA,Gezik Seaplane Base,"-80.66889954, 28.25189972",US,
34FD,Blue Ridge Flightpark Airport,"-80.90699768, 28.85720062",US,
34FL,Ellis Agricultural Field,"-86.30269623, 30.96549988",US,
34G,Merillat Airport,"-83.92520142, 41.97499847",US,
34GA,Cobb General Hospital Heliport,"-84.60720062, 33.8572998",US,
34ID,Freeman Creek Airport,"-116.343611, 46.570333",US,
34II,Burk Personal Use Airport,"-85.60279846, 40.05059814",US,
34IL,G. Bray Airport,"-90.10849762, 40.36249924",US,
34IN,Windy P Ridge Airport,"-85.01799774, 40.34030151",US,
34IS,Jim Wehrli Memorial Airport,"-88.71669769, 41.44480133",US,
34KS,St Joseph Heliport,"-97.29119873, 37.67169952",US,
34KY,Lone Pine Aerodrome,"-86.78279877, 36.91249847",US,
34LA,Swamp Smith Airport,"-93.27130127, 30.77160072",US,
34LL,Il Dept of Corrections/Lawrence County Heliport,"-87.90809631, 38.72829819",US,
34LS,Coastal Ridge Airpark,"-92.01450348, 30.02890015",US,
34MA,Crowhurst Heliport,"-70.73889923, 42.57630157",US,
34MI,De Witt Property Airport,"-86.2233963, 43.10029984",US,
34MN,Peil/Juliar Seaplane Base,"-93.6493988, 44.95999908",US,
34MO,Cyanamid-Hannibal Heliport,"-91.44020081, 39.83250046",US,
34MS,Colle Field,"-88.69619751, 30.47380066",US,
34NC,Carolinas Medical Center Heliport,"-80.84169769, 35.20560074",US,
34ND,Plath Farms Airport,"-97.15650177, 46.7057991",US,
34NE,Evans Ranch Airport,"-100.9349976, 41.22389984",US,
34NH,Stone Song Heliport,"-71.66110229, 42.81470108",US,
34NJ,Chilton Memorial Hospital Heliport,"-74.30960083, 40.957901",US,
34NY,Hendershot Airport,"-77.82730103, 43.2901001",US,
34OH,Arend Airport,"-84.64160156, 41.25699997",US,
34OI,Snoddy Air Strip,"-82.11789703, 40.69449997",US,
34OK,Double Bar S Ranches Airport,"-96.5503006, 35.90010071",US,
34OR,Providence Medical Center Heliport,"-122.6119995, 45.52819824",US,
34PA,Waltz Airport,"-77.19300079, 39.76070023",US,
34PN,Fox Field,"-77.220556, 40.485556",US,
34TA,Jsi Airport,"-96.48719788, 33.167099",US,
34TE,Bee Creek Airport,"-97.00859833, 32.23210144",US,
34TS,Canyon Lake Airport,"-98.24749756, 29.91580009",US,
34TX,Buckmaster Heliport,"-97.78359985, 32.6271019",US,
34U,Yuba Airport,"-85.43119812, 44.83890152",US,
34VA,Loudoun Hospital Center Heliport,"-77.47640228, 39.07720184",US,
34WA,Orbit Heliport,"-122.3190002, 45.56790161",US,
34WI,Thiessen Field,"-89.76540375, 43.4178009",US,
34XS,Flying Hare Field Airport,"-95.538611, 30.391944",US,
35AK,Seal Island Heliport,"-148.6950073, 70.49220276",US,
35AL,Citronelle / Silcox Memorial Heliport,"-88.24524522, 31.09033981",US,
35AR,Black Horse Landing Ultralightport,"-93.68630219, 36.35639954",US,
35AZ,Continental Airport,"-110.9769974, 31.84370041",US,
35C,Wells Airport,"-85.50530243, 43.1283989",US,
35CA,Los Angeles County/USC Medical Center Heliport,"-118.208056, 34.0575",US,
35CL,Flying M Ranch Airport,"-120.4789963, 37.23189926",US,
35CN,Farnsworth Ranch Airstrip,"-121.9339981, 39.09989929",US,
35CO,Lone Tree Ranch Airport,"-103.8089981, 38.88199997",US,
35FA,Rimes Lakecrest Airport,"-82.15879822, 29.46789932",US,
35FD,Rush Airport,"-82.72920227, 29.6923008",US,
35FL,St Vincent's Medical Center Heliport,"-81.68979645, 30.30879974",US,
35GA,Buford Precinct Heliport,"-84.01239777, 34.09790039",US,
35II,Brown Airport,"-85.84190369, 41.54230118",US,
35IL,Clarion Field,"-89.20279694, 41.53390121",US,
35IN,Ellison Airport,"-85.94249725, 40.29449844",US,
35IS,Enoch Airport,"-88.76399994, 39.52840042",US,
35JY,Cyber Density Balloon Spot Balloonport,"-74.63469696, 40.43439865",US,
35KS,Selby Farm Airport,"-97.31169891, 37.53359985",US,
35KY,Welcome Field,"-86.63610077, 36.71120071",US,
35L,Carriage Lane Airport,"-84.03500366, 42.46450043",US,
35LA,Ms Pats Airport,"-92.17610168, 29.97450066",US,
35LL,Crawford Memorial Hospital Heliport,"-87.75, 39.01589966",US,
35LS,The Bluffs Heliport,"-91.24490356, 30.80310059",US,
35M,Vortex Heliport,"-89.16529846, 30.3885994",US,
35MA,Idlewide Heliport,"-70.81259918, 42.55799866",US,
35ME,Matinicus Island Airport,"-68.89330292, 43.87110138",US,
35MI,Law Field,"-84.9858017, 42.63389969",US,
35MN,Wipline Airport,"-93.0134964, 44.81549835",US,
35MO,Camp Clark Army Heliport,"-94.30020142, 37.81669998",US,
35NC,Johnston Airport,"-80.75140381, 35.53829956",US,
35NE,Shelburnes Airport,"-101.8050003, 41.04999924",US,
35NH,Cobbetts Pond Seaplane Base,"-71.275853, 42.806914",US,
35NJ,Mid-State Heliport,"-75.7193985, 40.60039902",US,
35NY,Ciszak Airport,"-78.73529816, 42.51259995",US,
35OH,Gainey Heliport,"-81.5236969, 40.81869888",US,
35OI,Fawcett Center For Tomorrow Heliport,"-83.01879883, 40.01060104",US,
35OK,Schumacher Field,"-99.03559875, 35.5",US,
35OL,Henderson Farm Airport,"-99.15119934, 36.6330986",US,
35OR,Freight Wagon Field,"-121.1790009, 44.19260025",US,
35PA,Spring Land Heliport,"-75.16429901, 40.39369965",US,
35PN,Sabinsville-Consolidated Heliport,"-77.52050018, 41.87260056",US,
35TA,Texas Health Presbyterian Hospital Plano Heliport,"-96.83719635, 33.04349899",US,
35TE,Ne Police Station Nr 2 Heliport,"-95.33630371, 29.81329918",US,
35TS,Hempstead Gliderport,"-96.08660126, 30.1215992",US,
35TX,Flying B Ranch Airstrip,"-99.82559967, 32.48400116",US,
35VA,CMH Medical Heliport,"-78.13439941, 36.73429871",US,
35WA,Fisher Ranch Airport,"-118.4179993, 46.74990082",US,
35WI,Barker Strip,"-88.43759918, 42.74560165",US,
35XS,Nocona General Hospital Heliport,"-97.7322998, 33.77809906",US,
36AK,Flyway Farm Airstrip,"-150.0670013, 61.34329987",US,
36AR,David Stanley Memorial Airport,"-91.31890106, 35.20640182",US,
36AZ,Valley Farms Airport,"-111.4509964, 32.99369812",US,
36CA,Stone Land County Airport,"-119.9860001, 36.13190079",US,
36CL,Tri-City Hospital Heliport,"-117.2910004, 33.18529892",US,
36CN,Blackwell Land Company Inc Airport,"-120.0090027, 35.63639832",US,
36CO,Fat Chance Airport,"-104.5439987, 39.10609818",US,
36FA,Magic Air Adventure Heliport,"-81.48919678, 28.33419991",US,
36FD,Bay Helicopters Heliport,"-85.66130066, 30.19379997",US,
36FL,Mease Hospital Countryside Heliport,"-82.707901, 28.03890038",US,
36GA,Lola Landing Airport,"-83.97460175, 33.73009872",US,
36H,Squaw Harbor Seaplane Base,"-160.552002, 55.23329926",US,
36ID,Dorothy Roeber Memorial Heliport,"-115.1308, 43.8072",US,
36II,Newby Landing Airport,"-86.34860229, 39.84120178",US,
36IL,Batchtown Heliport,"-90.66609955, 39.03359985",US,
36IN,Peterson Ultralightport,"-86.44390106, 41.53620148",US,
36IS,Gillen Airport,"-90.73120117, 40.92639923",US,
36KS,White Farms Airport,"-95.34359741, 37.47480011",US,
36KY,Arnolds Airport,"-85.15380096, 37.6556015",US,
36LA,Lafayette Training Center - Cusa Heliport,"-92.05870056, 30.16580009",US,
36LL,Calhoun Medical Center Heliport,"-90.62220001, 39.15890121",US,
36LS,Squires Heliport,"-91.70500183, 29.90250015",US,
36MI,Tecumseh Products Airport,"-83.87830353, 42.03269958",US,
36MN,Wagner Farm Airport,"-96.57530212, 46.67160034",US,
36MO,Harrison Private Airport,"-91.64679718, 37.85279846",US,
36NC,Greensboro North Airport,"-79.90809631, 36.25360107",US,
36NE,Frevert Airstrip,"-97.5809021, 42.5141983",US,
36NH,Long Pond Landing Heliport,"-71.37110138, 42.70080185",US,
36NJ,Colliers Mills Heliport,"-74.44129944, 40.06340027",US,
36NY,Dew Airpark,"-78.21170044, 42.23590088",US,
36OH,Wright's Field,"-81.97399902, 40.19029999",US,
36OI,Verhoff Airport,"-84.21269989, 41.07310104",US,
36OK,Jones Air Park,"-96.88169861, 35.27230072",US,
36OR,Jasper Ridge Airstrip,"-122.8799973, 44.00329971",US,
36PA,Episcopal Hospital Heliport,"-75.13050079, 39.99010086",US,
36PN,Us Army Reserve Center Heliport,"-75.45240021, 39.96680069",US,
36TA,G W Heliport,"-98.49199677, 29.55330086",US,
36TE,Nw Police Station Nr 5 Heliport,"-95.53939819, 29.85689926",US,
36TN,Ruckman Field,"-87.13980103, 36.47700119",US,
36TS,4BH Heliport,"-97.77330017, 30.71879959",US,
36TX,Bevoni-Flying B Airport,"-96.86139679, 33.72090149",US,
36VA,Carilion Westlake Center Heliport,"-79.718361, 37.115861",US,
36VT,North Hero Passage Seaplane Base,"-73.285556, 44.854722",US,
36WA,Bob's Field,"-121.4980011, 45.95640182",US,
36WI,Holland Air Park,"-91.29959869, 44.03219986",US,
36XS,Mill Iron Ranch South Airport,"-100.1203194, 34.8918056",US,
37AR,Beech Creek Airport,"-91.62830353, 33.18249893",US,
37AZ,Sarita Airport,"-111.4850006, 32.93560028",US,
37CA,Billy Joe Airport,"-117.0709991, 33.50699997",US,
37CL,Lyall-Roberts Airport,"-116.9899979, 33.32450104",US,
37CN,Arnold Ranch Airport,"-119.7860031, 36.91439819",US,
37CO,Ash Mesa Heliport,"-107.9960022, 38.56719971",US,
37FA,Florida Hospital Heliport,"-81.36840057, 28.57559967",US,
37FD,Ringhaver Heliport,"-80.6269989, 27.98889923",US,
37FL,Flying Harness Farms Airport,"-82.84459686, 29.71859932",US,
37GA,Blue Bird Field,"-84.77850342, 34.90039825",US,
37I,Troy Skypark Airport,"-84.27050018, 39.99089813",US,
37ID,Hungry Ridge Ranch Airport,"-115.938, 45.782417",US,
37II,Winn Field,"-86.37359619, 41.17559814",US,
37IL,Minder Airport,"-89.32510376, 40.13339996",US,
37IN,Felix Airport,"-86.78029633, 40.29169846",US,
37IS,Hilbert Airport,"-88.60559845, 42.3321991",US,
37KS,Bar P Ranch Airport,"-96.33779907, 37.48199844",US,
37KY,Uk Hospital Heliport,"-84.50830078, 38.03089905",US,
37LA,Wayne Brown Airport,"-91.582901, 31.72769928",US,
37LL,Dale Curten Farm Airport,"-89.99710083, 38.04779816",US,
37LS,Vortex 2 Heliport,"-91.87210083, 30.03019905",US,
37M,Hornersville Memorial Airport,"-90.15010071, 36.04169846",US,
37MA,Hanson Heliport,"-72.423611, 42.122778",US,
37MI,Handleman Sky Ranch Airport,"-83.22769928, 42.85279846",US,
37MN,Nagel and Schultz Airport,"-93.8015976, 44.5821991",US,
37MO,Mayes Homestead Airport,"-94.18360138, 39.57500076",US,
37N,Garrison Dam Recreational Airpark,"-101.4089966, 47.48310089",US,
37NC,Valdese General Hospital Heliport,"-81.52249908, 35.74810028",US,
37ND,Sunset Strip,"-102.5090027, 47.23199844",US,
37NE,Watermeier Airport,"-96.30780029, 40.60779953",US,
37NJ,Deepwater Heliport,"-75.49490356, 39.69760132",US,
37NY,Cuba Memorial Hospital Heliport,"-78.2664032, 42.22090149",US,
37OH,Southwest General Hospital Heliport,"-81.79489899, 41.3708992",US,
37OI,Cole Airfield,"-82.79679871, 40.82509995",US,
37OK,Valley View Hospital Heliport,"-96.63330078, 34.77619934",US,
37OR,Vey Sheep Ranch Airport,"-118.3990021, 45.09320068",US,
37PA,Roadcap Airport,"-77.10610199, 40.78839874",US,
37PN,Hanover Hospital Heliport,"-76.983889, 39.807778",US,
37S,Fort Peck Airport,"-106.4820023, 48.00500107",US,
37TA,Texas Health Presbyterian Hospital Dallas Heliport,"-96.761389, 32.880403",US,
37TE,Johnnie Volk Field,"-95.00990295, 29.36020088",US,
37TN,Univ of Tennessee Lifestar Sweetwater Heliport,"-84.45529938, 35.6094017",US,
37TS,Skinner Airport,"-96.04000092, 32.99069977",US,
37TX,Yates Field,"-98.86560059, 31.32159996",US,
37VA,St. Mary's Hospital Heliport,"-77.502778, 37.570278",US,
37VT,Brisson Airport,"-73.31809998, 43.86859894",US,
37WA,Baumann Farm Inc. Airport,"-118.461998, 46.83179855",US,
37WI,Docken Field,"-89.75350189, 42.99110031",US,
37X,Skydive Houston Airport,"-95.93029785, 29.99340057",US,
37XS,Lake Whitney Country Club Airport,"-97.41699982, 32.00019836",US,
38AK,Mels Airport,"-149.6679993, 61.5625",US,
38AR,Williams Field,"-94.46820068, 36.11880112",US,
38AZ,Peabody Bedard Field,"-110.4179993, 36.47169876",US,
38C,Cain Field,"-85.49310303, 43.59999847",US,
38CA,Cashen Airport,"-119.4889984, 35.6916008",US,
38CL,Riego Flight Strip,"-121.5630035, 38.7541008",US,
38CN,Sanborn Airport,"-121.8840027, 39.10929871",US,
38CO,Basin Clinic Heliport,"-108.276001, 38.21860123",US,
38FA,Blue Springs Airport,"-83.24990082, 30.48349953",US,
38FD,Griffin's Main Office Heliport,"-81.53199768, 27.73699951",US,
38FL,Flagler Hospital Heliport,"-81.3167038, 29.86219978",US,
38GA,Lanier Park Hospital Heliport,"-83.79669952, 34.31969833",US,
38I,Weller Airport,"-83.68939972, 40.09120178",US,
38ID,Sky Ranch North Airport,"-116.6679167, 43.50944444",US,
38II,Hampton Field,"-86.823056, 39.728611",US,
38IL,Abraham Lincoln Memorial Hosp Heliport,"-89.37120056, 40.14979935",US,
38IN,Fuller Field,"-86.36309814, 39.90200043",US,
38IS,Winchester Airport,"-91.35849762, 40.58200073",US,
38K,Lucas Airport,"-98.52529907, 39.06200027",US,
38KS,Savute Airport,"-97.27749634, 37.77780151",US,
38KY,Grant County Hospital Heliport,"-84.56860352, 38.63589859",US,
38LA,Whiteville Airport,"-92.18229675, 30.78440094",US,
38LL,Gateway Regional Medical Center Heliport,"-90.14389801, 38.70830154",US,
38LS,Ace Flying Airport,"-91.82969666, 30.23670006",US,
38MI,Chicora Field,"-85.97920227, 42.46689987",US,
38MN,Chandler Personal Use Airport,"-94.77249908, 47.41109848",US,
38MO,Barber Airport,"-90.85569763, 39.25559998",US,
38N,Smyrna Airport,"-75.58390045, 39.30360031",US,
38NC,Annie Penn Hospital Heliport,"-79.66670227, 36.35390091",US,
38ND,Schroeder Private Airport,"-97.40119934, 47.09799957",US,
38NE,Boardman Aerial Airport,"-97.85140228, 40.75360107",US,
38NJ,Wjrz Radio Heliport,"-74.23429871, 39.69929886",US,
38NY,Greenlawn Farm Airport,"-76.95800018, 42.54869843",US,
38OH,Industry Air Park,"-82.57959747, 39.84479904",US,
38OI,Ronshausen Airport,"-83.07189941, 39.68510056",US,
38OK,Duncan Regional Hospital Heliport,"-97.97229767, 34.52119827",US,
38OR,Pge Boardman Heliport,"-119.8087556, 45.69453333",US,
38PA,Aerequus Airport,"-75.01409912, 40.39089966",US,
38PN,Waisley Airport,"-80.16649628, 42.00009918",US,
38SC,La Dolce Terra Airport,"-81.747778, 35.177778",US,
38TA,Kurio Heliport,"-95.56549835, 29.80190086",US,
38TE,John S Dunn Helistop,"-95.39550018, 29.7133007",US,
38TN,Sugar Grove Airport,"-86.27330017, 36.62530136",US,
38TS,Steeplechase Heliport,"-95.59159851, 29.92609978",US,
38TX,Lyndon B Johnson General Hospital Heliport,"-95.31130219, 29.81270027",US,
38V,Arthur Municipal Airport,"-101.7109985, 41.56169891",US,
38VA,State Police Division Three Heliport,"-78.86889648, 37.36040115",US,
38W,Lynden Airport,"-122.4580002, 48.95589828",US,
38WA,Blakely Island Airport,"-122.8259964, 48.57899857",US,BYW
38WI,Northport Airport,"-88.8526001, 44.3885994",US,
38WV,River's Edge Farm Airport,"-78.42559814, 39.32529831",US,
38XS,San Rafael Ranch Airport,"-98.47930145, 26.81520081",US,
39AK,Gilmore Strip,"-149.2359924, 61.58599854",US,
39AR,Twin Cities Airport,"-94.32640076, 35.41719818",US,
39AZ,Lukachukai Airport,"-109.2570038, 36.40060043",US,
39B,Nugent Chamberlain Lake Seaplane Base,"-69.24949646, 46.21670151",US,
39CA,Sce Palm Springs District Heliport,"-117.4660034, 33.78639984",US,
39CL,Castle Heliport,"-117.2300034, 33.78789902",US,
39CO,Flying M Ranch Airport,"-107.6740036, 38.48799896",US,
39FA,Sanders Ranch Airport,"-82.00930023, 29.66250038",US,
39FD,Ancient Oaks Airport,"-83.35350037, 29.72940063",US,
39FL,Palm Beach Sheriff's Range Heliport,"-80.19979858, 26.71699905",US,
39G,Avoca Airport,"-82.66940308, 43.02999878",US,
39GA,Wayne Memorial Hospital Heliport,"-81.89710236, 31.60160065",US,
39IA,Husband Field,"-94.02020264, 41.6794014",US,
39ID,Albion Municipal Airport,"-113.5579987, 42.39770126",US,
39II,Miller Field,"-85.55220032, 41.51480103",US,
39IL,Mason Airport,"-89.36289978, 40.09389877",US,
39IN,Roberts Field,"-85.42890167, 40.00230026",US,
39IS,Hagi Landing Area Airport,"-88.79560089, 41.11000061",US,
39K,Pomona Lake Airport,"-95.69000244, 38.69200134",US,
39KS,Rolling Meadows Airport,"-95.30750275, 38.78609848",US,
39KY,Somerset-Pulaski Co EMS Heliport,"-84.62580109, 37.08539963",US,
39LA,Whitaker Ultralightport,"-92.23055556, 30.58833333",US,
39LL,Sullivan Airport,"-91.303056, 40.401389",US,
39MI,Huber Airport,"-88.17240143, 46.16880035",US,
39MN,Anthony Private Airport,"-91.71050262, 47.03689957",US,
39MO,Gardner Airport,"-93.20490265, 37.11869812",US,
39NC,Rebel Field,"-81.94580078, 35.3246994",US,
39NJ,Troop B Heliport,"-74.22740173, 40.90010071",US,
39NY,Print Pad Heliport,"-73.57360077, 40.65330124",US,
39OH,Crosswind Meadows Airport,"-81.05509949, 40.81230164",US,
39OK,Paradise Air Haven Airport,"-97.47930145, 35.11149979",US,
39OR,Croman Heliport,"-122.8759995, 42.42919922",US,
39P,Strom Field,"-122.2669983, 46.55039978",US,
39PA,Gehris Airport,"-75.29049683, 40.31729889",US,
39PN,Nelson's Run Airport,"-80.19760132, 41.21590042",US,
39R,Flyin' B Airport,"-95.42379761, 29.53770065",US,
39T,Tripp Creek Airport,"-84.48919678, 43.06480026",US,
39TA,Flying Tigers Airport,"-95.65579987, 33.65259933",US,
39TE,Seminole Spraying Service Airport,"-102.737999, 32.71820068",US,
39TN,Big Sandy Airpark,"-88.043611, 36.279722",US,
39TS,Hearthstone Heliport,"-95.63079834, 29.87969971",US,
39TX,Sony Microelectronics Helistop,"-98.63999939, 29.44470024",US,
39VA,Kingstowne Heliport,"-77.13939667, 38.77140045",US,
39WA,Tailskid Ranch Airport,"-117.7819977, 47.85189819",US,
39WI,S & S Ranch Airport,"-90.61990356, 43.48469925",US,
39XS,Palo Pinto General Hospital Heliport,"-98.14620209, 32.79880142",US,
39Z,Flying-A-Ranch Airport,"-86.123703, 43.10499954",US,
3A0,Grove Hill Municipal Airport,"-87.76139832, 31.68930054",US,
3A3,Seymour Lake Seaplane Base,"-149.6660004, 61.61349869",US,
3A9,Arlington Municipal Airport,"-97.12310028, 44.39440155",US,
3AK0,Little Niklason Lake Seaplane Base,"-149.2879944, 61.62649918",US,
3AK1,Deshka Landing Airport,"-150.1959991, 61.71879959",US,
3AK2,Niklason Lake Estates Airport,"-149.2870026, 61.62749863",US,
3AK3,Songlo Vista Airport,"-150.220993, 62.56380081",US,
3AK4,Johnson Airport,"-151.3399963, 60.63249969",US,
3AK5,Drift River Airport,"-152.1620026, 60.58890152",US,DRF
3AK6,B & B Boys Ranch Airport,"-149.302002, 61.59289932",US,
3AK7,Laub Airport,"-150.3390045, 61.7655983",US,
3AK8,Boisselle's Strip,"-149.3919983, 61.66249847",US,
3AK9,River John Airport,"-151.036111, 61.941944",US,
3AL0,Fayette County Hospital Heliport,"-87.82360077, 33.70920181",US,
3AL1,Flying H Ranch Airport,"-85.68530273, 31.05039978",US,
3AL2,East Alabama Medical Center Heliport,"-85.40219879, 32.6391983",US,
3AL3,Tuscaloosa Police Department Heliport,"-87.55709839, 33.17409897",US,
3AL4,Aldot Complex Heliport,"-86.26809692, 32.41360092",US,
3AL5,Edwards Farm Airport,"-85.76390076, 33.83530045",US,
3AL6,Town & Country Airpark,"-86.41249847, 33.49010086",US,
3AL7,Flowers Field,"-87.51999664, 32.28499985",US,
3AL8,Flint River Ranch Airport,"-86.46690369, 34.61920166",US,
3AL9,Cullman Regional Medical Center Heliport,"-86.80470276, 34.20059967",US,
3AR0,Frost Flying Inc Airport,"-90.853302, 34.83060074",US,
3AR1,Pine Mountain Heliport,"-92.66329956, 36.41059875",US,
3AR2,Ridgeway Field,"-93.20159912, 36.32009888",US,
3AR3,Cypress Creek Airport,"-92.08200073, 35.05960083",US,
3AR4,Four Mile Creek Ranch Airport,"-92.07740021, 35.00569916",US,
3AR5,Tripp Strip,"-91.61190033, 35.11790085",US,
3AR6,Crystal Ridge Airport,"-92.5164032, 34.72859955",US,
3AR7,Taylor Field,"-94.18669891, 36.28779984",US,
3AR8,River Acres Airport,"-91.96679688, 35.46670151",US,
3AR9,Quinn Field,"-90.35839844, 36.05199814",US,
3AZ0,Flagstaff Medical Center East No. 2 Heliport,"-111.6429977, 35.20830154",US,
3AZ1,Pixley-Richards Gilbert Heliport,"-111.836998, 33.37229919",US,
3AZ2,U of A Maricopa Ag Center Airport,"-111.9830017, 33.08029938",US,
3AZ3,Emergency Medical Heliport,"-111.4639969, 36.91719818",US,
3AZ4,Phoenix General Satellite Hospital Heliport,"-112.1149979, 33.66590118",US,
3AZ5,Hualapai Airport,"-113.2919998, 35.57220078",US,
3AZ6,Del E Webb Memorial Hospital Heliport,"-112.3730011, 33.65990067",US,
3AZ7,The Buttes in Tempe Heliport,"-111.9729996, 33.40340042",US,
3AZ8,High Mesa Airpark,"-109.6529999, 32.76229858",US,
3AZ9,Ina Road Heliport,"-111.0719986, 32.33509827",US,
3B3,Sterling Airport,"-71.79290009, 42.42589951",US,
3B8,Shady Acres Airport,"-122.3710022, 47.07040024",US,
3C1,Mishawaka Pilots Club Airport,"-86.03469849, 41.6570015",US,
3C3,Campbell Lake Spb Seaplane Base,"-149.9420013, 61.1330986",US,
3C5,[Duplicate] Wheeler Airport,"-86.60700226, 41.18980026",US,
3CA0,Burroughs Heliport,"-119.3769989, 35.70410156",US,
3CA1,Newport Beach Police Heliport,"-117.8769989, 33.62639999",US,
3CA2,Jamboree Center Helistop,"-117.836998, 33.67779922",US,
3CA3,Dixon Airport,"-119.526001, 34.92219925",US,
3CA5,Haws Airport,"-120.2429962, 36.9416008",US,
